"Countries","Males2007","Males2011","Females2007","Females2011","MaleWHO2007","MaleWHO2011","FemaleWHO2007","FemaleWHO2011","WHO2007","WHO2011","None2007","Primary2007","LowerSecondary2007","PostSecondary2007","UpperSecondary2007","TertiaryFirst2007","TertiraryAdv2007","NA2007","None2011","Primary2011","LowerSecondary2011","PostSecondary2011","UpperSecondary2011","TertiaryFirst2011","TertiraryAdv2011","NA2011","18to24_2007","25o34_2007","35to49_2007","50to64_2007","64+in2007","18to24_2011","25o34_2011","35to49_2011","50to64_2011","64+in2011","NA"
"Finland",464,437,538,583,60.8137048498847,57.5163028573809,67.6951735941614,74.2034451090242,66.4891518737673,66.4891518737673,17,91,129,298,69,376,12,0,0,139,57,341,65,405,12,1,79,127,217,294,303,79,127,217,294,303,11
"France",634,1010,903,1260,54.3686408980604,58.5272457038646,67.5910521536405,62.2137741150697,60.8802129547471,60.8802129547471,19,292,168,585,0,353,104,0,0,372,221,961,0,661,44,5,173,305,661,563,568,173,305,661,563,568,12
"Hungary",387,454,613,570,53.7098333789171,59.6411344217614,66.7744601504815,61.8298173785345,61.0470588235294,61.0470588235294,0,263,314,289,19,114,1,0,1,34,200,557,77,153,2,0,99,142,252,286,245,99,142,252,286,245,13
"Ireland",401,482,599,569,53.5204763572228,62.081953276693,76.6143554828265,66.8325542497933,64.7526265520535,64.7526265520535,14,176,258,291,130,70,47,0,23,151,166,225,131,337,13,5,84,161,326,262,218,84,161,326,262,218,14
"Italy",537,846,979,1404,44.3137332829919,51.4649458834375,69.071586140646,73.5328777146123,63.4590237348858,63.4590237348858,24,130,357,721,44,161,0,0,0,329,580,954,42,262,78,2,138,244,720,616,532,138,244,720,616,532,15
"Lithuania",378,419,626,715,48.2758241939293,46.6704082958177,59.6740341418277,60.6407189343406,55.6889692585895,55.6889692585895,26,103,95,546,150,8,0,0,19,77,136,333,77,486,6,0,105,125,259,282,363,105,125,259,282,363,16
"Luxembourg",427,435,577,570,56.6340051917227,57.6962861722228,69.3817595198658,67.4740878792151,63.0941883767535,63.0941883767535,3,182,167,375,24,190,14,0,19,56,215,340,24,239,17,90,61,149,332,254,209,61,149,332,254,209,17
"Latvia",383,352,619,657,45.9830869151291,43.2993553133708,58.7117998048869,61.7182167554002,54.867617107943,54.867617107943,4,22,166,354,201,171,6,0,0,0,225,379,154,249,1,1,83,156,204,259,307,83,156,204,259,307,18
"Malta",501,482,499,519,54.3075713453106,57.1757438694269,47.3769032482917,56.9464168876882,57.5766129032258,57.5766129032258,14,238,94,386,175,78,1,0,17,210,430,103,0,227,6,6,147,150,242,268,194,147,150,242,268,194,19
"Netherlands",481,474,530,534,67.2332759125751,64.1519633714862,66.009908141235,64.391094624388,64.465671641791,64.465671641791,9,46,205,70,246,404,10,0,6,64,331,263,35,302,5,2,81,115,285,271,256,81,115,285,271,256,20
"Poland",608,900,892,1362,47.5101302186559,48.9591897362296,61.4568848936514,62.7256932144393,57.936247723133,57.936247723133,10,30,321,849,57,210,19,0,28,360,38,1372,109,339,9,3,227,344,497,729,465,227,344,497,729,465,21
"Portugal",477,420,523,593,62.9974556453251,57.7712969621638,51.8757420890827,68.5722334977265,63.7301587301587,63.7301587301587,115,380,230,96,48,112,14,0,96,460,166,167,0,102,21,1,62,146,238,235,332,62,146,238,235,332,22
"Romania",473,672,527,870,51.1752138084142,53.2295354874565,49.7965017147909,54.4391430033368,55.218085106383,55.218085106383,18,86,166,499,84,131,13,0,33,169,269,689,116,264,2,0,144,200,365,451,382,144,200,365,451,382,23
"Sweden",495,493,522,514,68.1894361539527,65.5653758396231,65.3856873006534,62.46240317817,64.444,64.444,4,81,84,244,215,351,14,0,9,44,131,459,0,343,16,4,125,156,257,232,237,125,156,257,232,237,24
"Slovenia",428,457,607,551,51.2927540114573,54.3430732231942,63.5027897314781,61.3237085321196,58.3056943056943,58.3056943056943,25,28,187,609,0,178,7,0,0,23,182,578,0,214,3,0,108,169,243,254,234,108,169,243,254,234,25
"Slovakia",439,392,689,608,47.3136153655608,47.4091091184987,64.7430803754705,65.9495399326544,57.8318135764944,57.8318135764944,0,4,122,798,38,153,13,0,0,6,136,695,25,126,12,0,58,134,270,305,233,58,134,270,305,233,26
"UK",648,970,859,1282,55.3716384304138,54.4658966049177,63.5530797214839,61.6437904705846,58.4560464078536,58.4560464078536,27,27,192,730,93,371,17,0,41,81,1168,244,40,621,26,22,149,301,582,565,655,149,301,582,565,655,27
"Turkey",878,864,1122,1171,40.163937535096,48.4381544787865,47.2574962463914,61.3716058751603,56.4341241797072,56.4341241797072,320,806,232,446,0,194,2,0,205,763,364,473,0,219,1,1,322,529,546,418,220,322,529,546,418,220,28
"Croatia",388,402,612,599,46.3134991259711,53.160947923352,61.4868227738229,67.5724963385142,61.4519716885743,61.4519716885743,28,107,158,538,66,87,9,0,23,150,192,418,57,154,7,0,110,132,260,272,227,110,132,260,272,227,29
"Macedonia (FYROM)",482,490,526,516,51.3756824829558,67.9392400922865,49.8711694335499,66.2656519000563,68.2507583417594,68.2507583417594,30,123,271,456,32,90,0,0,12,38,129,541,0,277,7,1,150,188,258,233,177,150,188,258,233,177,30
"Kosovo",0,613,0,463,NA,68.7042679137607,NA,51.117727734256,64.6986027944112,64.6986027944112,0,0,0,0,0,0,0,0,42,49,117,550,0,312,3,2,245,239,340,198,54,245,239,340,198,54,31
"Serbia",0,423,0,579,NA,49.9900556361795,NA,57.8310268460676,55.1129196337742,55.1129196337742,0,0,0,0,0,0,0,0,8,39,104,603,0,237,3,1,126,236,253,239,148,126,236,253,239,148,32
"Montenegro",0,428,0,572,NA,58.731314736331,NA,72.2749721981235,67.0408163265306,67.0408163265306,0,0,0,0,0,0,0,0,4,22,47,645,0,276,2,1,218,245,233,175,129,218,245,233,175,129,33
"Iceland",0,443,0,557,NA,62.4485322470874,NA,74.3505376050636,69.1474747474747,69.1474747474747,0,0,0,0,0,0,0,0,1,12,156,319,68,426,8,1,87,150,279,291,193,87,150,279,291,193,34
"Norway",467,0,533,0,66.6143515890197,NA,70.3745841815105,NA,NA,NA,2,73,99,300,87,424,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
