"Countries","Males2007","Females2007","Males2011","Females2011","a18to24_2007","a25to34_2007","a35to49_2007","a50to64_2007","a64_2007","a18to24_2011","a25to34_2011","a35to49_2011","a50to64_2011","a64_2011","None2007","Primary2007","Secondary2007","Tertiary2007","None2011","Primary2011","Secondary2011","Tertiary2011","Who2007","Who2011","MaleWHO2007","FemaleWHO2007","MaleWHO2011","FemaleWHO2011","a18to24WHO_2007","a25to34WHO_2007","a35to49WHO_2007","a50to64WHO_2007","a64WHO_2007","a18to24WHO_2011","a25to34WHO_2011","a35to49WHO_2011","a50to64WHO_2011","a64WHO_2011","Social_contact2011","Deprivation2007","Deprivation2011","Social_exclusion2007","Social_exclusion2011"
"Finland",464,538,437,583,66,117,232,324,263,79,127,217,294,303,17,91,496,388,0,139,463,417,64.8812877263582,66.4891518737673,61.3349116096652,67.9264418837531,57.7748427642225,74.6092849526175,37.8150802616905,48.1323238879562,56.1869473399256,79.4092313794931,83.599853861438,44.2460527146018,51.0634962901812,57.0084888226715,75.2806818356961,87.7244188265804,14.6613333333333,0.401015228426396,0.53217568947906,2.02254098360656,1.96868686868687
"France",634,903,1010,1260,113,240,416,401,367,173,305,661,563,568,19,292,753,457,0,372,1182,705,61.9421052631579,60.8802129547471,55.0385910824614,68.2971927355108,58.8594212928615,62.7743304250574,41.8686371509389,57.8995758418631,60.0801132602425,68.856419427747,70.3205817008689,43.4921596891877,52.9372439350184,62.3888386445554,63.8236915677671,70.5122358928092,14.651566951567,0.66065464261857,0.948822463768116,2.24331275720165,2.21324843610366
"Hungary",387,613,454,570,78,163,234,264,261,99,142,252,286,245,0,263,622,115,1,34,834,155,61.6324873096447,61.0470588235294,54.2563497224203,67.673891610144,60.014320458098,61.9419331609272,43.6205363068635,58.8083286140786,53.815491451076,68.6666799842621,78.373057727258,64.9661698305421,53.6174602941488,55.1191028469427,66.0282536285833,66.900662758786,15.3040897097625,2.42378378378378,2.71746031746032,2.33841463414634,2.17098445595855
"Ireland",401,599,482,569,111,177,305,239,168,84,161,326,262,218,14,176,679,117,23,151,522,350,66.6857727737973,64.7526265520535,54.2968482523279,78.4008247243384,62.5684712264672,66.970004440677,52.8211184496918,52.6699124918824,72.7331265000293,79.2683442314874,71.2851032705434,39.2046521685122,47.6408822121825,63.5002833134764,79.532101449512,88.6278927227091,15.5675496688742,0.518837459634015,1.14765784114053,2.22882736156352,2.2316141356256
"Italy",537,979,846,1404,129,259,600,347,181,138,244,720,616,532,24,130,1122,161,0,329,1576,340,58.3145161290323,63.4590237348858,44.6983612271226,70.4912944025192,51.9018389749626,74.0772219943397,53.5755382976787,57.6291850658655,85.9840985872333,56.9844742952328,28.5890439386378,49.0670115193209,51.8315103853974,69.5414880826424,74.196591952856,57.9724535196699,15.9695083014049,0.728107344632768,0.85107421875,2.30080753701211,2.25431425976385
"Lithuania",378,626,419,715,89,139,238,228,310,105,125,259,282,363,26,103,791,8,19,77,546,492,55.501014198783,55.6889692585895,48.8943047790979,60.3584348830025,47.752468163859,62.0669640878061,45.2443904025337,45.0886436230459,48.8953000696915,57.4345040990953,79.7639854090811,39.5596312077672,48.9736200534731,48.4572058015934,61.42987576327,76.0248672301285,14.2750836120401,2.35807860262009,2.58217821782178,2.51688815060908,2.42328170377541
"Luxembourg",427,577,435,570,66,110,339,266,223,61,149,332,254,209,3,182,566,204,19,56,579,256,63.9274193548387,63.0941883767535,57.3492354641419,70.2334692007144,57.858468004333,68.1451518447001,39.1821738549097,37.4409113596993,66.340071331648,78.1204298281857,81.5621347898104,34.0919051933906,48.9034433137026,65.9845218048632,72.1021690381546,78.7492191211153,15.0619295958279,0.295876288659794,0.329557157569516,1.98606729758149,2.11427094105481
"Latvia",383,619,352,657,134,192,297,187,192,83,156,204,259,307,4,22,721,177,0,0,758,250,54.3934426229508,54.867617107943,47.9190782162273,60.2616467256901,44.7311897378871,63.052390912578,58.107362293687,63.5891841842225,60.7656673979202,47.1290968077772,44.7990923820245,43.5066772245076,47.3534699284167,45.7702781539832,61.0631805358368,72.0073242224177,14.6428104575163,2.14500537056928,2.72291904218928,2.3792349726776,2.41755319148936
"Malta",501,499,482,519,110,148,243,300,199,147,150,242,268,194,14,238,655,79,17,210,533,233,52.7352024922118,57.5766129032258,55.5695483204866,49.9151537707098,57.8726767316437,57.3400761486561,51.040515211227,41.9256444096403,51.1811008112472,59.4219541393094,58.7627142312348,67.486121146009,52.442653166326,58.3093033511813,59.6636514491756,51.5521455199904,15.4615683229814,1.64566929133858,1.82994011976048,2.03404139433551,2.36001131221719
"Netherlands",481,530,474,534,34,104,345,321,207,81,115,285,271,256,9,46,521,414,6,64,629,307,67.0796812749004,64.465671641791,67.48928770139,66.5558717834404,64.1519633714862,64.5991787282483,22.7038844864798,39.7332036263961,71.5117997050235,87.9047847990218,82.3554600086227,43.8511962062675,52.5871113445667,64.5934987357804,70.7437771086993,76.4831122440997,12.6919642857143,0.314427860696517,0.5,1.90977822580645,2.0050916496945
"Poland",608,892,900,1362,158,234,383,421,304,227,344,497,729,465,10,30,1227,229,28,360,1519,348,57.7038596491228,57.936247723133,50.0723997891409,64.4381946634269,50.2291693324334,65.0639059720412,49.1968949318684,49.3468806064472,59.2054198787057,65.3675030556576,61.4189501096889,52.4987006468327,51.318980777353,53.1614525545623,67.6322425105664,62.2748283243067,14.6025568181818,1.98681148176881,2.19908583037075,2.47551546391753,2.43959414818311
"Portugal",477,523,420,593,148,132,270,247,203,62,146,238,235,332,115,380,374,126,96,460,333,123,58.4458077709611,63.7301587301587,64.0389419753528,53.2831525591295,57.931520957104,68.8714663094144,84.0412870234371,45.9022316673018,59.4634160204059,63.0452298491292,47.3958075427042,47.8276751151647,53.9526047241384,59.3302128378866,65.1388102229887,81.566270399879,15.2791666666667,1.31086956521739,2.03950103950104,2.17381198347107,2.14883367139959
"Romania",473,527,672,870,95,159,276,273,197,144,200,365,451,382,18,86,749,144,33,169,1074,266,52.344398340249,55.218085106383,53.1849073896313,51.0956023008845,54.173397221863,55.8428669293115,43.3589084326723,46.9028646826583,60.4273575068567,60.919185687847,41.1964715747264,43.072749241674,50.1119914874978,50.9863329704404,65.3392382506454,62.3615073994654,17.5681434599156,2.66417112299465,2.65817409766454,2.59035796766744,2.43477496483826
"Sweden",495,522,493,514,33,119,288,334,243,125,156,257,232,237,4,81,543,365,9,44,590,359,67.0286278381046,64.444,68.3262081758328,65.7533521383561,66.0488766342414,62.8751798715464,19.7761550101562,46.5411911202873,69.6875453005001,87.788439300902,78.3338982412534,62.6500993763025,58.7360505306467,61.9431042112837,65.8428003667565,70.4650121242767,13.4728915662651,0.272727272727273,0.363542739443872,1.50739041794088,1.86050156739812
"Slovenia",428,607,457,551,105,172,203,275,280,108,169,243,254,234,25,28,796,185,0,23,760,217,58.9515331355094,58.3056943056943,52.699799764518,64.7778916659191,54.8495944887389,61.8088728822621,58.2943351069513,57.6189036564723,40.5455110122638,68.0851349131588,76.1893158506126,78.183812662874,59.8401603196139,53.1021278425072,56.276536990829,57.635528153038,13.2458100558659,0.893939393939394,1.01914893617021,2.15542596348884,2.12013319672131
"Slovakia",439,689,392,608,93,165,294,361,215,58,134,270,305,233,0,4,958,166,0,6,856,138,57.1310592459605,57.8318135764944,47.9184799084659,65.3443247313647,48.2121479400898,66.660357703045,37.1248699866013,47.4502786515786,52.1883079655312,85.6614111505297,62.1028860139325,31.6794320956418,43.2318955354999,57.4191803842288,73.7149329320697,72.3185647306375,12.8678960096735,2.03746397694524,2.25,2.21799628942486,2.23155080213904
"United Kingdom",648,859,970,1282,123,207,376,358,443,149,301,582,565,655,27,27,1015,388,41,81,1452,647,60.4005376344086,58.4560464078536,55.9559125719703,64.2015545319954,54.7437454655132,62.0056461329865,46.4869704252126,45.1130291820797,51.0813725974747,62.9143502579768,90.8294557455935,36.2962069309761,44.6032184974251,52.5032127554212,62.4863867887078,84.645976999378,14.8611272515979,0.63799036476256,1.1222169587873,2.35271851342051,2.32361111111111
"Turkey",878,1122,864,1171,341,578,588,317,176,322,529,546,418,220,320,806,678,196,205,763,837,220,46.0284360189573,56.4341241797072,42.5232969335039,49.734698366351,49.8640932490093,63.1404212096547,39.684874725798,55.2991715829766,47.2372998059537,43.7606885237908,36.8285159403229,59.5753453168012,62.3279312815494,51.5842934413125,57.1434609557372,49.7724904219613,17.2407216494845,3.43051201671891,2.90413223140496,2.42937608318891,2.3598044397463
"Croatia",388,612,402,599,107,138,229,266,260,110,132,260,272,227,28,107,762,96,23,150,667,161,55.3557594291539,61.4519716885743,46.801872074883,62.9370044901413,53.2581774997715,68.9185550143097,58.1707579442829,50.1928630619065,45.0758768955876,64.3028496377212,62.374750160399,62.2096168046497,64.6951375299658,56.7172022022767,63.2148763828153,62.5918509486375,14.3950742240216,1.95797413793103,1.77067254685777,2.53867403314917,2.36002120890774
"Macedonia",482,526,490,516,139,151,297,246,175,150,188,258,233,177,30,123,759,90,12,38,670,284,53.2609603340292,68.2507583417594,54.3598412871694,51.7213512203006,68.7596342315061,67.8015877259449,61.3258605258771,45.155417246482,53.9925017913137,54.9276765583581,51.1258706346675,83.4201805705429,69.960398371595,64.8286121520461,65.9494750687592,61.4761703876535,14.3014502762431,2.95326086956522,2.00537634408602,2.67567567567568,2.4097995545657
"Kosovo",0,0,613,463,0,0,0,0,0,245,239,340,198,54,0,0,0,0,42,49,667,315,0,64.6986027944112,0,0,73.3933624624646,57.2823647488575,0,0,0,0,0,69.9762309370412,72.0742747521959,71.7556538113413,62.7469939610991,26.0406643663581,11.4757489300999,0,2.23815309842041,0,2.46109358569926
"Serbia",0,0,423,579,0,0,0,0,0,126,236,253,239,148,0,0,0,0,8,39,707,240,0,55.1129196337742,0,0,50.4623903900149,59.5558035059749,0,0,0,0,0,83.0467262223405,75.6370918066253,59.0457252084414,44.2184739948854,32.4069915268201,13.8337104072398,0,2.04262295081967,0,2.50239361702128
"Montenegro",0,0,428,572,0,0,0,0,0,218,245,233,175,129,0,0,0,0,4,22,692,278,0,67.0408163265306,0,0,60.1808530540469,73.6142173035522,0,0,0,0,0,116.008392505008,92.2984964694372,57.4684110602276,45.8742734408106,42.4677643683058,15.5918762088975,0,1.52753303964758,0,2.30443107221007
"Iceland",0,0,443,557,0,0,0,0,0,87,150,279,291,193,0,0,0,0,1,12,543,434,0,69.1474747474747,0,0,62.9679748193062,75.785649128311,0,0,0,0,0,47.4775577891977,49.8632379880032,73.7576755817258,81.3383595390403,83.4920696553572,13.5220238095238,0,1.08722741433022,0,1.79230769230769
"Norway",467,533,0,0,64,138,295,276,227,0,0,0,0,0,2,73,486,434,0,0,0,0,69.2861476238625,0,67.8309489877497,70.4502151156121,0,0,43.3386428334506,52.4459990927754,70.3294951082562,78.1746570919818,86.0780342480912,0,0,0,0,0,0,0.292759706190976,0,1.68484848484848,0
